Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-,Unnamed: 24_level_1
31,31,11/8/25,N,Akron,MAC,Princeton,H,"W, 104-69",127.8,96.8,77.2,134.7,61.3,9.1,30.6,29.6,89.3,43.1,19.4,25.5,30.8,96,15,
32,32,11/7/25,N,Clemson,ACC,Gardner Webb,H,"W, 97-59",127.6,99,69.9,138.7,54.5,4.3,46.3,26,84.4,44.7,22.9,17.6,55.3,94.9,18,
33,33,11/7/25,N,Charleston,CAA,Liberty,A,"L, 90-75",127.4,132.5,62.6,119.9,58.2,19.2,36.4,30.9,143.8,66.1,8,32.3,28.8,38.9,-8,
34,34,11/3/25,N,Ohio St.,B10,IU Indy,H,"W, 118-102",127.2,130,85.8,137.5,70.4,19.8,45.8,98.1,118.8,57.9,15.1,28.6,26.3,43.6,12,
35,35,11/6/25,N,Miami FL,ACC,Bethune Cookman,H,"W, 101-61",127,92.2,72.2,139.8,65.2,8.3,33.3,33.3,84.4,36.4,16.6,30.6,28.8,97.6,14,
36,36,11/3/25,N,Central Michigan,MAC,Appalachian St.,H,"W, 82-66",126.7,110.3,64.9,126.3,58.6,18.5,44.8,29.3,101.7,44.1,13.9,36.2,49.2,83.2,12,
37,37,11/4/25,N,Purdue,B10,Evansville,H,"W, 82-51",126.7,91.7,61.8,132.8,58.5,11.3,37.5,27.1,82.6,35,16.2,41.7,5.7,97.6,13,
38,38,11/3/25,N,IU Indy,Horz,Ohio St.,A,"L, 118-102",126.6,119.1,85.8,118.8,57.9,15.1,28.6,26.3,137.5,70.4,19.8,45.8,98.1,67,-12,
39,39,11/7/25,N,Winthrop,BSth,George Mason,A,"L, 96-90",126.6,119.7,76.6,117.5,48.5,7.8,24.4,43.3,125.3,55.1,18.3,44.4,72.9,65.5,0,
40,40,11/3/25,N,Cleveland St.,Horz,Loyola Chicago,A,"L, 91-88",126.2,122.6,71.9,122.4,52.3,19.5,50,35.9,126.6,54.5,9.7,29.3,37.9,58.3,-2,
41,41,11/3/25,N,St. John's,BE,Quinnipiac,H,"W, 108-74",126.1,95.4,83.6,129.2,62.3,16.7,43.2,49.3,88.5,45.5,26.3,32.6,28.4,96.1,17,
42,42,11/3/25,N,Arizona,B12,Florida,N,"W, 93-87",125.9,96,81.7,113.9,50.8,17.1,35.3,62.3,106.6,47.9,18.4,37,42.9,95.7,1,
43,43,11/3/25,N,VCU,A10,Wagner,H,"W, 103-74",125.6,112.9,76.1,135.4,60.3,13.1,41,45.6,97.3,45.2,19.7,33.3,38.1,77.3,8,
44,44,11/7/25,N,Ohio St.,B10,Purdue Fort Wayne,H,"W, 94-68",125.4,99.3,72.6,129.4,82.4,26.2,28.6,25.5,93.6,48.3,17.9,19.4,28.8,93.5,13,
45,45,11/8/25,N,St. Bonaventure,A10,Canisius,H,"W, 89-70",125.3,122.6,63.8,139.5,55.1,12.5,57.1,26.5,109.7,56.9,17.2,24.1,33.3,56.4,9,
46,46,11/8/25,N,Tennessee,SEC,Northern Kentucky,H,"W, 95-56",124.9,93.6,69.6,136.5,61.5,17.2,51.6,29.2,80.5,44,21.6,24.4,22.4,96.5,15,
47,47,11/7/25,N,Tulsa,Amer,Rhode Island,N,"W, 82-65",124.5,101.8,65.2,125.7,62,21.5,44.8,44.4,99.7,52.1,24.5,32.1,39.6,91,8,
48,48,11/5/25,N,Marquette,BE,Southern,H,"W, 100-82",124.4,109.6,78.7,126.4,60,11.4,26.3,28.6,103.6,47.7,16.4,27.5,45.3,81.1,8,
49,49,11/3/25,N,Troy,SB,Kent St.,A,"W, 103-97",124.4,106.6,76.2,120.2,61.9,14,20.7,52.4,113.2,45.6,16.3,44,41.8,85.6,9,
