Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF_O,eFG%_O,TO%_O,Reb%_O,FTR_O,EFF_D,eFG%_D,TO%_D,Reb%_D,FTR_D,G-Sc,+/-,True Advantage,hca,Won/Loss,Score Range,Score,Opp_Score,Spread
1055,3/5/25,C,Boston College,ACC,Clemson,H,"L, 78-69",112,108.3,67.1,102.9,46.7,10.4,18.9,30,116.3,56.9,19.4,40.6,27.6,59.5,-7,3.96,3.96,L,78-69,69,78,-9
1057,3/5/25,C,Colorado,B12,Texas Tech,A,"L, 91-75",123.4,113,67.3,111.5,55.5,14.9,26.7,38.2,135.2,60.9,8.9,29.4,25,73.3,-10,0.0,5.23,L,91-75,75,91,-16
1063,3/5/25,C,Alabama,SEC,Florida,H,"L, 99-94",131.5,105,79.8,117.8,53.5,7.5,22.7,34.7,124,54.2,12.5,39,40.3,93,-3,4.86,4.86,L,99-94,94,99,-5
1064,3/5/25,C,Florida,SEC,Alabama,A,"W, 99-94",138.9,97,79.8,124,54.2,12.5,39,40.3,117.8,53.5,7.5,22.7,34.7,98.4,3,0.0,3.8,W,99-94,99,94,5
1072,3/5/25,C,Kansas St.,B12,Cincinnati,A,"W, 54-49",94.7,76.3,62.5,86.4,43.5,19.2,22.9,18.5,78.4,38.6,16,26.3,19.3,92.2,-1,0.0,5.72,W,54-49,54,49,5
1074,3/5/25,C,La Salle,A10,George Mason,A,"L, 69-62",108.6,99.7,66.3,93.5,44.5,21.1,31.4,32.7,104,51.9,18.1,20.7,28.3,72.8,1,0.0,3.34,L,69-62,62,69,-7
1081,3/5/25,C,Connecticut,BE,Marquette,H,"W, 72-66",125.6,102.1,61.1,117.8,45.4,13.1,47.5,21.5,108,46.5,8.2,24.2,28.1,91.6,1,3.86,3.86,W,72-66,72,66,6
1082,3/5/25,C,Marquette,BE,Connecticut,A,"L, 72-66",117.5,100.9,61.1,108,46.5,8.2,24.2,28.1,117.8,45.4,13.1,47.5,21.5,85.2,-1,0.0,4.68,L,72-66,66,72,-6
1083,3/5/25,C,Maryland,B10,Michigan,A,"W, 71-65",116.4,83,70.7,100.5,45.2,11.3,26.8,30.2,92,49.2,22.6,25.7,11.3,98,5,0.0,4.9,W,71-65,71,65,6
1084,3/5/25,C,Michigan,B10,Maryland,H,"L, 71-65",104.3,92.2,70.7,92,49.2,22.6,25.7,11.3,100.5,45.2,11.3,26.8,30.2,80.6,-5,3.93,3.93,L,71-65,65,71,-6
1087,3/5/25,C,Missouri,SEC,Oklahoma,A,"L, 96-84",128.1,126.2,69.4,121.1,54.2,14.4,36.4,40,138.4,63.4,13,32,46.4,54.3,-10,0.0,6.47,L,96-84,84,96,-12
1088,3/5/25,C,Oklahoma,SEC,Missouri,H,"W, 96-84",145.5,102.6,69.4,138.4,63.4,13,32,46.4,121.1,54.2,14.4,36.4,40,98.2,10,5.28,5.28,W,96-84,96,84,12
1089,3/5/25,C,Oklahoma St.,B12,UCF,A,"L, 83-70",102,96.8,74.7,93.7,43.2,12.1,16.7,22.7,111.1,50,25.4,44.1,53.6,64.6,-1,0.0,6.52,L,83-70,70,83,-13
1103,3/5/25,C,Mississippi,SEC,Tennessee,H,"W, 78-76",139,109.5,63.4,123.1,49.3,7.9,37.5,20.6,119.9,57.4,12.6,26.7,31.5,94,-3,4.43,4.43,W,78-76,78,76,2
1104,3/5/25,C,Tennessee,SEC,Mississippi,A,"L, 78-76",135.6,107.1,63.4,119.9,57.4,12.6,26.7,31.5,123.1,49.3,7.9,37.5,20.6,93.8,3,0.0,4.74,L,78-76,76,78,-2
1108,3/5/25,C,Washington,B10,USC,A,"L, 92-61",103.1,118.4,67.1,90.9,52,23.8,20,27.5,137.1,70,14.9,25,29.1,16.9,-10,0.0,4.44,L,92-61,61,92,-31
1109,3/5/25,C,Minnesota,B10,Wisconsin,H,"L, 74-67",114.2,102,63.8,105.1,46.8,9.4,31.7,23.8,116.1,48.2,17.3,38.2,43.6,78.6,-4,4.78,4.78,L,74-67,67,74,-7
1118,3/4/25,C,Arizona St.,B12,Arizona,A,"L, 113-100",151.2,129.1,73.6,135.8,55.2,5.4,31.6,46.3,153.5,67.2,8.1,42.9,63.9,86,-7,0.0,4.01,L,113-100,100,113,-13
1119,3/4/25,C,Arkansas,SEC,Vanderbilt,A,"W, 90-77",120.1,88.8,78.6,114.4,56.9,19.1,34.3,33.8,97.9,46.7,17.8,21.1,45,97,4,0.0,6.63,W,90-77,90,77,13
1121,3/4/25,C,Auburn,SEC,Texas A&M,A,"L, 83-72",131.7,120.9,62.5,115.2,59,20.8,34.6,30,132.8,50,17.6,60,38.5,72.9,-7,0.0,3.32,L,83-72,72,83,-11
1122,3/4/25,C,Texas A&M,SEC,Auburn,H,"W, 83-72",150.9,97.2,62.5,132.8,50,17.6,60,38.5,115.2,59,20.8,34.6,30,99.4,7,4.82,4.82,W,83-72,83,72,11
1124,3/4/25,C,TCU,B12,Baylor,H,"L, 61-58",103,95.1,58.1,99.8,39.7,20.7,50,31,105,50,22.4,41.4,28,71.4,-4,3.65,3.65,L,61-58,58,61,-3
1129,3/4/25,C,BYU,B12,Iowa St.,A,"W, 88-85",122.2,87.1,67.8,103.9,53.4,34.2,48.6,52.5,100.3,45.3,13,14.6,48.4,98,5,0.0,4.53,W,88-85,88,85,3
1130,3/4/25,C,Iowa St.,B12,BYU,H,"L, 88-85",103.7,90,67.8,100.3,45.3,13,14.6,48.4,103.9,53.4,34.2,48.6,52.5,83.7,-5,5.32,5.32,L,88-85,85,88,-3
1149,3/4/25,C,Indiana,B10,Oregon,A,"L, 73-64",112.8,99.4,65.2,98.2,46.9,15.3,31.7,10.8,112,44.3,13.8,39.5,34.4,81.1,-2,0.0,4.42,L,73-64,64,73,-9
1160,3/4/25,C,LSU,SEC,Kentucky,A,"L, 95-64",92.4,106.7,76,84.2,50,21.1,9.1,17.2,125,59.2,10.5,22.9,15.5,16,-19,0.0,4.14,L,95-64,64,95,-31
1167,3/4/25,C,Nebraska,B10,Ohio St.,A,"L, 116-114",138,119.9,70.5,129.4,61,12.5,35.1,36.4,131.7,61.8,10.2,28.6,64.7,83.5,-5,0.0,5.75,L,116-114,114,116,-2
